Product_ID,Product_Name,Product_Price
1.0,FinPredictor Suite,140000.0
2.0,MarketMinder Analytics,168000.0
3.0,TrendWise Forecaster,100800.0
4.0,CustomerScope Insights,123200.0
5.0,SalesSync Optimizer,84000.0
6.0,RevenueVue Dashboard,179200.0
7.0,DataBridge Integration Tool,151200.0
,RiskRadar Monitor,151200.0
9.0,Product 9,112000.0
10.0,SegmentX Targeting,89600.0
11.0,OptiFlow Automation,156800.0
12.0,BudgetMaster Pro,84000.0
13.0,ForecastXcelerator ,196000.0
14.0,InsightMax Insights Platform,128800.0
15.0,NexGen Segmentator,100800.0
,SpendTrack Plus,106400.0
17.0,RealTime Revenue,168000.0
18.0,DashSync Analytics Hub,134400.0
19.0,EcoNomix Modeler,95200.0
20.0,FinSphere Intelligence Suite,224000.0
